"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period"
"Accenture","K1P","2025-02-10",235164.3,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-02-10","2025-06-06","2024-2025-Q4"
"Accenture","K1P","2025-01-06",469910.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-06","2025-03-07","2024-2025-Q4"
"Accenture","K1P","2025-01-06",436010.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-06","2025-03-07","2024-2025-Q4"
"Accenture","K1P","2024-07-02",88055.25,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-07-02","2024-08-30","2024-2025-Q2"
"Accenture","K1P","2024-04-29",2465044.15,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-04-29","2024-08-20","2024-2025-Q1"
"Accenture","K1P","2024-04-12",282048,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-05-13","2024-12-31","2024-2025-Q1"
"Accenture","K1P","2024-03-07",119130.25,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-07","2024-05-31","2023-2024-Q4"
"Accenture","K1P","2024-03-04",104885.48,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-04","2024-05-31","2024-2025-Q1"
"Accenture","K1P","2024-02-05",519658.89,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-02-05","2024-05-08","2023-2024-Q4"
"Accenture","K1P","2024-02-05",540083.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-02-05","2024-05-08","2023-2024-Q4"
"Accenture","K1P","2023-12-11",119130.25,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-12-11","2024-03-31","2023-2024-Q3"
"Accenture","K1P","2023-11-27",166110,"D302","OADP Systems Development Services","0491","Management consulting","2023-11-27","2024-03-31","2023-2024-Q3"
"Accenture","K1P","2023-11-22",3468749.7,"D302","OADP Systems Development Services","0491","Management consulting","2023-11-22","2024-04-26","2023-2024-Q3"
"Accenture","K1P","2023-10-23",516523,"D302","OADP Systems Development Services","0491","Management consulting","2023-10-23","2024-05-21","2023-2024-Q3"
"Accenture","K1P","2023-09-18",3225443.75,"D302","OADP Systems Development Services","0491","Management consulting","2023-09-18","2024-02-09","2023-2024-Q2"
"Accenture","K1P","2023-03-20",4422938.65,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-03-20","2023-09-30","2022-2023-Q4"
"Accenture","K1P","2023-02-20",2075789.73,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-20","2023-08-18","2022-2023-Q4"
"Accenture","K1P","2023-02-20",4992482.47,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-20","2024-03-31","2023-2024-Q2"
"Accenture","K1P","2023-02-20",4885968.67,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-20","2024-12-31","2023-2024-Q4"
"Accenture","K1P","2022-11-14",527936,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-14","2023-12-29","2023-2024-Q3"
"Accenture","K1P","2022-11-14",453808,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-11-14","2023-10-31","2022-2023-Q3"
"Accenture","K1P","2022-02-13",4562432.31,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-02-13","2023-11-24","2023-2024-Q2"
"Accenture","K1P","2021-12-13",166381.2,"D302","OADP Systems Development Services","0491","Management consulting","2021-12-13","2022-03-31","2021-2022-Q3"
"Accenture","K1P","2021-11-08",184868,"D302","OADP Systems Development Services","0491","Management consulting","2021-11-08","2022-02-14","2021-2022-Q3"
"Accenture","K1P","2021-09-23",135877.98,"D302","OADP Systems Development Services","0491","Management consulting","2021-09-23","2021-12-03","2021-2022-Q2"
"Accenture","K1P","2021-09-13",175624.6,"D302","OADP Systems Development Services","0491","Management consulting","2021-09-13","2021-12-31","2021-2022-Q2"
"Accenture","K1P","2021-07-23",147894.4,"D302","OADP Systems Development Services","0491","Management consulting","2021-07-26","2021-10-31","2021-2022-Q2"
"Accenture","K1P","2021-07-07",385449.78,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-07-07","2021-10-10","2021-2022-Q2"
"Accenture","K1P","2021-05-10",203354.8,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2021-05-10","2021-10-29","2021-2022-Q1"
"Accenture","K1P","2021-05-10",332762.4,"D302","OADP Systems Development Services","0491","Management consulting","2021-05-10","2021-10-29","2021-2022-Q1"
"Accenture","K1P","2021-03-04",78568.9,"D302","OADP Systems Development Services","0491","Management consulting","2021-03-04","2021-05-31","2020-2021-Q4"
"Accenture","K1P","2021-02-16",314275.6,"D302","OADP Systems Development Services","0491","Management consulting","2021-02-16","2021-07-31","2020-2021-Q4"
"Accenture","K1P","2019-10-14",175624.6,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-10-14","2020-03-06","2019-2020-Q3"
"Altis Recruitment","K1P","2023-10-23",79210.74,"R010","Auditing Services","0473","Information technology and telecommunications consultants","2023-10-23","2024-03-29","2023-2024-Q3"
"BABEL STREET","20190","2025-05-28",47923.25,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-05-28","2026-05-27","2025-2026-Q1"
"BABEL STREET","20190","2025-05-27",239616.24,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-05-31","2026-05-30","2025-2026-Q1"
"BABEL STREET","20190","2025-05-27",24040.12,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-06-22","2026-06-21","2025-2026-Q1"
"BABEL STREET","20190","2025-03-28",100849.15,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-28","2026-03-27","2024-2025-Q4"
"BABEL STREET","20190","2025-03-02",84959.84,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-04","2026-03-03","2024-2025-Q4"
"BABEL STREET","20190","2025-03-02",100956.11,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-04","2026-03-03","2024-2025-Q4"
"BABEL STREET","20190","2025-02-20",49569.87,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-02-20","2026-02-19","2024-2025-Q4"
"BABEL STREET","20190","2025-02-15",199730.72,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-02-15","2026-02-14","2024-2025-Q4"
"BABEL STREET","20190","2025-01-07",193473.49,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-01-07","2026-01-06","2024-2025-Q4"
"BABEL STREET","20190","2024-12-20",75364.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-01-04","2026-01-03","2024-2025-Q3"
"BABEL STREET","20190","2024-10-30",72915.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-11-02","2025-11-01","2024-2025-Q3"
"BABEL STREET","20190","2024-05-27",230517.02,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-05-31","2025-05-30","2024-2025-Q1"
"BABEL STREET","20190","2024-05-27",23051.7,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-06-22","2025-06-21","2024-2025-Q1"
"BABEL STREET","20190","2024-03-06",68755.69,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-03-28","2025-03-26","2023-2024-Q4"
"BABEL STREET","20190","2024-01-31",22665.77,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-02-01","2025-01-31","2023-2024-Q4"
"BABEL STREET","20190","2024-01-31",181326.15,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-02-15","2025-02-14","2023-2024-Q4"
"BABEL STREET","20190","2023-12-20",67466.44,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-01-04","2025-01-03","2023-2024-Q3"
"BABEL STREET","20190","2023-11-02",46861.79,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-11-02","2024-11-01","2023-2024-Q3"
"BABEL STREET","20190","2023-10-31",69969.11,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-11-02","2024-11-01","2023-2024-Q3"
"BABEL STREET","20190","2023-06-22",22193.88,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-06-22","2024-06-21","2023-2024-Q1"
"BABEL STREET","20190","2023-05-31",235632.73,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-05-31","2024-05-30","2023-2024-Q1"
"BABEL STREET","20190","2023-05-31",222101.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-05-31","2024-05-30","2023-2024-Q1"
"BABEL STREET","20190","2023-03-28",94190.9,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-03-28","2024-03-27","2022-2023-Q4"
"BABEL STREET","20190","2023-01-26",185147.92,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-02-15","2024-02-14","2022-2023-Q4"
"BABEL STREET","20190","2022-12-21",94601.32,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-12-21","2023-01-04","2022-2023-Q3"
"BABEL STREET","20190","2022-11-02",70642.78,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-11-02","2023-11-01","2022-2023-Q3"
"BABEL STREET","20190","2022-05-30",212933.94,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-05-31","2022-05-31","2022-2023-Q1"
"BABEL STREET","20190","2022-03-28",21130.77,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-03-28","2023-03-27","2021-2022-Q4"
"BABEL STREET","20190","2022-03-24",84523.09,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-03-28","2023-03-27","2021-2022-Q4"
"BABEL STREET","20190","2022-02-15",171594.47,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-02-15","2023-02-14","2021-2022-Q4"
"BABEL STREET","20190","2021-12-22",80322.92,"T004","Public Relations Services (incl. Writing Services, Event Planning a","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-01-04","2023-01-03","2021-2022-Q3"
"BANFIELD-SEGUIN LTD.","K1Y","2022-11-16",150982.13,"T001","Market Research and Public Opinion Services (Formerly Telephone and","0491","Management consulting","2022-11-08","2023-03-31","2022-2023-Q3"
"BLOOMBERG FINANCE L.P.","M5J","2025-06-23",155568.56,"D307","Automated Information System Design and Integration Services","0812","Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-06-23","2026-06-22","2025-2026-Q1"
"BOREAL VETERINARY CENTRE","T5V","2025-03-05",14136.96,"F021","Veterinary/Animal Care Services (incl. Livestock Services)","0499","Other professional services not elsewhere specified","2025-03-05","2025-03-07","2024-2025-Q4"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",287189.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",236170,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",196145.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",266657.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",287189.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",191297.7,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",267471,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",287189.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",267471,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",266657.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",241537.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",241537.5,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1"
"CACHE CONSULTING CORPORATION","K1P","2019-05-21",604776,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-05-21","2021-05-20","2019-2020-Q1"
"CALIAN","K2V","2024-08-12",900467.11,"G009","Other Health Services","0491","Management consulting","2024-08-12","2027-03-31","2024-2025-Q2"
"CALIAN","K2V","2019-01-04",18840.16,"G009","Other Health Services","0491","Management consulting","2019-01-04","2019-01-31","2018-2019-Q4"
"CAMPION COLLEGE","S4S","2017-03-16",23625,"U008","Training/Curriculum Development","0491","Management consulting","2017-03-16","2017-03-31","2016-2017-Q4"
"CEB INC.","M5A","2023-03-01",49431.85,"D317","Automated News Services, Data Services, or Other Information Servic","0491","Management consulting","2023-03-01","2024-02-29","2022-2023-Q4"
"CISTEL TECHNOLOGY INC.","K2E","2022-12-01",1809446.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-01","2025-11-30","2024-2025-Q2"
"CISTEL TECHNOLOGY INC.","K2E","2022-12-01",1206297.6,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-01","2024-10-31","2022-2023-Q3"
"CISTEL TECHNOLOGY INC.","K2E","2022-04-25",1098360.02,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-04-25","2025-07-31","2024-2025-Q2"
"CISTEL TECHNOLOGY INC.","K2E","2022-04-25",732240,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-04-25","2024-07-31","2022-2023-Q1"
"CISTEL TECHNOLOGY INC.","K2E","2022-04-25",1431834.31,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-04-25","2026-07-31","2025-2026-Q1"
"CISTEL TECHNOLOGY INC.","K2E","2019-08-01",663264.8,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-08-01","2021-07-31","2020-2021-Q1"
"CISTEL TECHNOLOGY INC.","K2E","2019-08-01",331632.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-08-01","2020-07-31","2019-2020-Q2"
"CISTEL TECHNOLOGY INC.","K2E","2019-02-22",442199.74,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-02-22","2020-11-29","2019-2020-Q4"
"CISTEL TECHNOLOGY INC.","K2E","2019-02-22",220892.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-02-22","2019-11-29","2018-2019-Q4"
"CISTEL TECHNOLOGY INC.","K2E","2019-02-22",792039.6,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-02-22","2021-11-30","2020-2021-Q3"
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",525992.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-12-05","2020-11-29","2019-2020-Q2"
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",804780.58,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-12-05","2021-11-30","2020-2021-Q3"
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",67122,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-12-05","2019-03-31","2018-2019-Q3"
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",257504.4,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2018-12-05","2020-11-29","2018-2019-Q4"
"CISTEL TECHNOLOGY INC.","K2E","2017-01-30",849466.2,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2015-04-01","2018-03-31","2016-2017-Q4"
"CISTEL TECHNOLOGY INC.","K2E","2015-04-01",1132621.6,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2015-04-01","2019-03-31","2017-2018-Q4"
"COGENT SYSTEMS INC.","N5V","2012-06-28",12153048.78,"D301","ADP Facility Operation and Maintenance Services","0473","Information technology and telecommunications consultants","2012-06-28","2017-06-30","2017-2018-Q3"
"COSSETTE COMMUNICATION INC.","H3B","2022-11-09",107350,"T001","Market Research and Public Opinion Services (Formerly Telephone and","0491","Management consulting","2022-11-07","2023-03-31","2022-2023-Q3"
"Cofomo","K1N","2024-05-09",94092.09,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-05-09","2024-12-31","2025-2026-Q1"
"Cofomo","K1N","2024-05-09",94092.09,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-05-09","2024-08-30","2024-2025-Q1"
"Cofomo","K1N","2024-05-09",213574.11,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-05-09","2024-12-31","2024-2025-Q2"
"Cofomo","K1N","2023-11-06",203119.44,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-11-10","2024-05-31","2023-2024-Q3"
"Cofomo","K1N","2023-02-22",429966.73,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-22","2023-11-09","2023-2024-Q3"
"Cofomo","K1N","2023-02-22",212844.48,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-22","2023-10-10","2022-2023-Q4"
"Cofomo","K1N","2023-02-22",397109.17,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2023-02-22","2023-10-10","2022-2023-Q4"
"Cofomo","K1N","2022-12-12",303185.62,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-12","2023-10-10","2023-2024-Q1"
"Cofomo","K1N","2022-12-12",231496.41,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-12","2023-07-31","2022-2023-Q3"
"Cofomo","K1N","2022-12-12",661631.68,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2022-12-12","2024-10-10","2023-2024-Q2"
"D4IS SOLUTIONS INC","H3N","2019-04-01",385560,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2019-04-01","2020-03-31","2019-2020-Q1"
"DELOITTE LLP","K1P","2025-06-26",687059.81,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-06-26","2025-09-30","2025-2026-Q1"
"DELOITTE LLP","K1P","2024-12-18",2036814.94,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-02","2025-05-31","2024-2025-Q3"
"DELOITTE LLP","K1P","2024-12-18",2068924.73,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-02","2025-05-31","2024-2025-Q4"
"DELOITTE LLP","K1P","2024-12-18",3110846.52,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-02","2025-05-31","2024-2025-Q3"
"DELOITTE LLP","K1P","2024-12-18",2619248.92,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2025-01-02","2025-05-31","2024-2025-Q4"
"DELOITTE LLP","K1P","2024-10-21",1144875.04,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-10-21","2024-12-31","2024-2025-Q3"
"DELOITTE LLP","K1P","2024-07-19",1909860.61,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-07-19","2024-09-20","2024-2025-Q2"
"DELOITTE LLP","K1P","2024-07-19",1805310.75,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-07-19","2024-09-20","2024-2025-Q2"
"DELOITTE LLP","K1P","2024-03-07",3110393.67,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-07","2024-07-31","2024-2025-Q1"
"DELOITTE LLP","K1P","2024-03-07",1997087.27,"D302","OADP Systems Development Services","0473","Information technology and telecommunications consultants","2024-03-07","2024-06-14","2023-2024-Q4"
"DR TERENCE FOGWILL","A1A","2021-02-25",187200,"G009","Other Health Services","0491","Management consulting","2021-02-25","2024-03-31","2020-2021-Q4"
"DR TERENCE FOGWILL","A1A","2020-04-02",60033.75,"G009","Other Health Services","0491","Management consulting","2020-04-02","2021-03-31","2020-2021-Q3"
"DR TERENCE FOGWILL","A1A","2020-04-02",45600,"G009","Other Health Services","0491","Management consulting","2020-04-02","2020-12-31","2020-2021-Q2"
"DR TERENCE FOGWILL","A1A","2020-04-02",24000,"G009","Other Health Services","0491","Management consulting","2020-04-02","2020-08-31","2020-2021-Q1"
"DR TERENCE FOGWILL","A1A","2020-01-01",13368.75,"G009","Other Health Services","0491","Management consulting","2020-01-01","2020-03-31","2019-2020-Q4"
"DR TERENCE FOGWILL","A1A","2019-11-12",19320,"G009","Other Health Services","0491","Management consulting","2019-11-12","2020-03-31","2019-2020-Q3"
"DR TERENCE FOGWILL","A1A","2019-07-01",19320,"G009","Other Health Services","0491","Management consulting","2019-07-01","2020-03-31","2019-2020-Q2"
"DR TERENCE FOGWILL","A1A","2019-04-09",24999,"G009","Other Health Services","0491","Management consulting","2019-04-09","2019-06-30","2019-2020-Q1"
"DR. A. ROY LILLY","A1W","2021-03-03",340874.1,"G009","Other Health Services","0491","Management consulting","2021-03-03","2025-06-30","2024-2025-Q4"
"DR. A. ROY LILLY","A1W","2021-03-03",236144.1,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-08-31","2024-2025-Q1"
"DR. A. ROY LILLY","A1W","2021-03-03",210144.1,"G009","Other Health Services","0491","Management consulting","2021-03-03","2024-05-31","2023-2024-Q4"
