"economic_object_code","economic_object_code_descn"
"6037","Return of contributions - Government employees"
"6038","Return of contributions - Public Service corporation employees"
"6039","Return of contributions – Parliamentarians"
"6045","Transfers to other pension funds"
"6046","Refundable tax remitted to the Canada Revenue Agency"
"6047","Withdrawal of surplus"
"6051","Operating expenses"
"6053","Transfer to Pension Investment Board"
"6056","Transfer from Pension Investment Board"
"6058","Pension transfer value payments"
"6059","Other payments"
"6060","Estimated collections of taxes"
"6063","Installment payments to provinces for taxes"
"6079","Net Increases or Decreases in Crown corporations deposits"
"6081","Deposits received"
"6082","Interest received"
"6083","Transfers from budgetary expenditures"
"6084","Deposit of securities held in trust"
"6085","Refunds"
"6086","Payments made in accordance with authorities"
"6087","Return of securities held in trust"
"6089","Other adjustments"
"6099","Net increases or decreases in other specified purpose accounts"
"6111","Issue of debt"
"6115","Redemption of unmatured debt"
"6116","Transfers to matured debt (on retirement of debt)"
"6117","Revaluation of unmatured debt"
"6118","Unmatured debt payable - Exchange Rate Changes"
"6119","Other adjustments"
"6211","Interest charges accrued"
"6212","Interest due"
"6213","Payments to claimants"
"6221","Transfers from unmatured debt"
"6222","Redemption of debts"
"6225","Write-off of Matured debt (Transfer to Revenue)"
"6227","Matured debt Revaluation"
"6270","Issue of Derivatives"
"6271","Adjustments to Derivatives"
"6272","Settlement of Derivatives"
"6299","Net increase or decrease in other liability"
"7021","Allowance for valuation of financial claims (incl. allowance for doubtful accounts)"
"7022","Allowance for statutory accounts payable"
"7023","Allowance for employee benefits"
"7024","Allowance for accounts receivable not expected to be collected"
"7029","Other allowances"
"7031","Increase to reflect actuarial deficiencies recorded"
"7032","Decrease resulting from amortization of actuarial deficiencies"
"7041","Increase to Reflect Discount on New Treasury bills"
"7042","Decrease Resulting from Amortization of Discount on Treasury bills"
"7061","Accumulated amortization"
"7071","Asset Retirement Obligation incurred in the current period"
"7072","Change in previously reported Asset Retirement Obligation"
"7073","Change in the carrying amount of an asset retirement obligation due to accretion"
"7099","Net Increase or Decrease in Other transactions"
"8011","Increases"
"8012","Decreases"
"8021","Closing of control accounts"
"8022","Closing of revenue and expense accounts"
"8103","Other adjustments"
"8110","Contributions by employees, their employers and other participants"
"8114","Return on investment"
"8116","Other receipts"
"8117","Payment of benefits"
"8120","Operating expenses"
"8122","Other payments and Adjustments"
"8150","Receipts from provinces"
"8151","Interest-free advances from the Government of Canada"
"8153","Payments to provinces"
"8154","Repayment of advances to the Government of Canada"
"8161","Receipts from participating provinces and producers"
"8167","Payments to participating producers"
"8171","Payment of GST/HST on purchases"
"8172","Payment of QST on purchases"
"8173","Reimbursement of QST by Revenu Québec"
"8181","Proceeds from forfeited assets and fines"
"8184","Payments of operating and other expenses"
"8186","Payment of claims against the Crown and other expenses to outside parties"
"8187","Payment of proceeds to other governments"
"8188","Transfer of Net Proceeds to Other revenue"
"8190","Donations (unspecified)"
"8191","Net proceeds from the sale of federal real property"
"8192","Contributions from the Government of Canada"
"8194","Other receipts"
"8195","Disbursements to outside parties"
"8196","Disbursements (internal to government)"
"8197","Contributions to outside parties"
"8200","Receipts"
"8201","Payments"
"8210","Receipts"
"8211","Transfers from budgetary appropriations"
"8215","Payments"
"8220","Receipts"
"8225","Payments"
"8290","Other receipts"
"8295","Other payments"
"8300","Accumulated deficit/surplus brought forward - Consolidation of all Crown corporations"
"8312","Gain/Loss for the year - Enterprises Crown Corporations"
"8313","Other adjustments"
"8321","Net change in allowance - Employee benefit"
"8339","Expenses - Other"
"8340","Net change - Cash in transit"
"8350","Net Change - Accounts receivable"
"8360","Net change - Loans, investment and advances by appropriation-dependant Crown corporations"
"8371","Net change - Other liabilities ADCC"
"8380","Net change - Other liabilities appropriation-dependent Crown corporations borrowings"
"8400","Other revenue - Return on investments"
"8402","Other revenue"
"8419","Expenses - Other elimination inter-entity transactions"
"8422","Unmatured debt held by appropriation-dependant Crown corporations"
"8425","Specified purpose accounts - Due to appropriation-dependant Crown corporations"
"8440","Elimination of inter-entity loans, investments or advances in appropriation-dependent Crown corporations"
"8443","Allowance for valuation of assets and liabilities"
"8601","Unrealized gains/losses-Adjustment"
"8602","Settlement other than at maturity date"
"9DDD","Interdepartmental settlement"
